DateTime,Metric,Capacity,CR,TR,beta,r2
2017-09-14T00:31:00,83338.97,191999.97,64835.32,366.00,-120.598167,0.932823
2017-09-14T00:36:00,93896.17,191999.97,64908.98,366.00,-118.355338,0.935420
2017-09-14T00:41:00,87829.61,191999.97,65032.88,366.00,-117.654852,0.934472
2017-09-14T00:46:00,84698.95,191999.97,65178.07,366.00,-117.709575,0.931823
2017-09-14T00:51:00,83179.14,191999.97,65267.36,366.00,-118.097115,0.928397
2017-09-14T00:56:00,86883.92,191999.97,65404.27,366.00,-117.568591,0.927060
2017-09-14T01:01:00,87344.82,191999.97,65536.78,366.00,-116.924904,0.926013
2017-09-14T01:06:00,109117.57,191999.97,65291.18,366.00,-111.269328,0.938239
2017-09-14T01:11:00,89608.76,191999.97,65367.22,366.00,-110.228178,0.938320
2017-09-14T01:16:00,93466.49,191999.97,65469.96,366.00,-108.334276,0.940534
2017-09-14T01:21:00,82449.70,191999.97,65474.83,366.00,-108.927550,0.936849
2017-09-14T01:26:00,85219.63,191999.97,65646.76,366.00,-108.868873,0.934641
2017-09-14T01:31:00,87778.02,191999.97,65758.29,366.00,-108.235004,0.933827
2017-09-14T01:36:00,97331.07,191999.97,65781.93,366.00,-105.557494,0.938332
2017-09-14T01:41:00,81040.48,191999.97,65849.87,366.00,-106.394816,0.934056
2017-09-14T01:46:00,89408.93,191999.97,65950.95,366.00,-105.432866,0.934156
2017-09-14T01:51:00,82214.61,191999.97,66026.29,366.00,-105.967603,0.930538
2017-09-14T01:56:00,79697.70,191999.97,66196.14,366.00,-106.975624,0.925719
2017-09-14T02:01:00,89849.58,191999.97,66268.94,366.00,-105.880294,0.926218
2017-09-14T02:06:00,100053.05,191999.97,66241.83,366.00,-102.767630,0.932466
2017-09-14T02:11:00,82883.38,191999.97,66332.01,366.00,-103.124009,0.929297
2017-09-14T02:16:00,85442.37,191999.97,66419.58,366.00,-102.949716,0.927462
2017-09-14T02:21:00,82247.88,191999.97,66492.75,366.00,-103.376742,0.924053
2017-09-14T02:26:00,84719.36,191999.97,66647.32,366.00,-103.299098,0.921934
2017-09-14T02:31:00,84731.19,191999.97,66752.40,366.00,-103.202362,0.919857
2017-09-14T02:36:00,101553.91,191999.97,66676.88,366.00,-99.956892,0.927108
2017-09-14T02:41:00,82590.59,191999.97,66742.46,366.00,-100.292325,0.923968
2017-09-14T02:46:00,84672.13,191999.97,66849.54,366.00,-100.219364,0.921901
2017-09-14T02:51:00,90979.29,191999.97,66928.97,366.00,-98.994508,0.923130
2017-09-14T02:56:00,82533.65,191999.97,67087.51,366.00,-99.296661,0.920046
2017-09-14T03:01:00,85950.91,191999.97,67187.26,366.00,-98.969228,0.918705
2017-09-14T03:06:00,113049.82,191999.97,66869.48,366.00,-93.909862,0.932751
2017-09-14T03:11:00,89449.45,191999.97,66934.61,366.00,-93.066890,0.933046
2017-09-14T03:16:00,85237.22,191999.97,67016.67,366.00,-92.953688,0.931297
2017-09-14T03:21:00,90911.52,191999.97,67094.48,366.00,-91.870192,0.932353
2017-09-14T03:26:00,94222.11,191999.97,67162.72,366.00,-90.252231,0.935066
2017-09-14T03:31:00,85292.55,191999.97,67266.72,366.00,-90.146275,0.933362
2017-09-14T03:36:00,95551.09,191999.97,67321.52,366.00,-88.350436,0.936722
2017-09-14T03:41:00,88553.73,191999.97,67412.43,366.00,-87.728823,0.936564
2017-09-14T03:46:00,84451.88,191999.97,67528.15,366.00,-87.769591,0.934494
2017-09-14T03:51:00,82702.00,191999.97,67594.55,366.00,-88.072727,0.931656
2017-09-14T03:56:00,86251.55,191999.97,67704.84,366.00,-87.795577,0.930492
2017-09-14T04:01:00,83179.29,191999.97,67814.63,366.00,-87.990587,0.927926
2017-09-14T04:06:00,103068.45,191999.97,67703.54,366.00,-85.106783,0.935329
2017-09-14T04:11:00,95970.51,191999.97,67765.92,366.00,-83.377378,0.938809
2017-09-14T04:16:00,83826.19,191999.97,67841.71,366.00,-83.517827,0.936539
2017-09-14T04:21:00,84366.53,191999.97,67888.01,366.00,-83.560991,0.934538
2017-09-14T04:26:00,86203.99,191999.97,67996.92,366.00,-83.318999,0.933393
2017-09-14T04:31:00,85177.80,191999.97,68117.21,366.00,-83.222085,0.931804
2017-09-14T04:36:00,96592.30,191999.97,68135.11,366.00,-81.462154,0.935652
2017-09-14T04:41:00,82614.66,191999.97,68205.62,366.00,-81.747192,0.932941
2017-09-14T04:46:00,90098.95,191999.97,68284.80,366.00,-80.948994,0.933637
2017-09-14T04:51:00,83110.05,191999.97,68343.04,366.00,-81.145811,0.931181
2017-09-14T04:56:00,81349.77,191999.97,68468.36,366.00,-81.570972,0.927993
2017-09-14T05:01:00,92939.07,191999.97,68513.85,366.00,-80.373174,0.930121
2017-09-14T05:06:00,103475.79,191999.97,68428.86,366.00,-77.758021,0.937415
2017-09-14T05:11:00,81164.07,191999.97,68466.32,366.00,-78.227571,0.934192
2017-09-14T05:16:00,86822.59,191999.97,68535.91,366.00,-77.914411,0.933427
2017-09-14T05:21:00,83407.17,191999.97,68597.77,366.00,-78.053495,0.931196
2017-09-14T05:26:00,84458.62,191999.97,68731.33,366.00,-78.040021,0.929444
2017-09-14T05:31:00,85163.16,191999.97,68810.02,366.00,-77.924868,0.928021
2017-09-14T05:36:00,103523.33,191999.97,68698.69,366.00,-75.430716,0.935297
2017-09-14T05:41:00,82248.14,191999.97,68744.40,366.00,-75.718950,0.932636
2017-09-14T05:46:00,82211.42,191999.97,68820.59,366.00,-75.994340,0.929987
2017-09-14T05:51:00,87201.13,191999.97,68882.57,366.00,-75.625585,0.929490
2017-09-14T05:56:00,80992.43,191999.97,69020.43,366.00,-76.030612,0.926381
2017-09-14T06:01:00,83492.35,191999.97,69103.55,366.00,-76.106805,0.924341
2017-09-14T06:06:00,105415.50,191999.97,68964.25,366.00,-73.490565,0.932585
2017-09-14T06:11:00,82942.26,191999.97,69028.72,366.00,-73.659193,0.930321
2017-09-14T06:16:00,81179.71,191999.97,69092.53,366.00,-74.026186,0.927368
2017-09-14T06:21:00,84111.19,191999.97,69135.87,366.00,-74.025637,0.925642
2017-09-14T06:26:00,88204.91,191999.97,69234.40,366.00,-73.533334,0.925680
2017-09-14T06:31:00,83620.23,191999.97,69321.88,366.00,-73.581584,0.923781
2017-09-14T06:36:00,94355.48,191999.97,69354.27,366.00,-72.375517,0.926602
2017-09-14T06:41:00,87620.73,191999.97,69430.07,366.00,-71.966527,0.926393
2017-09-14T06:46:00,84746.66,191999.97,69517.37,366.00,-71.887366,0.924984
2017-09-14T06:51:00,83295.64,191999.97,69574.29,366.00,-71.965998,0.922996
2017-09-14T06:56:00,86545.12,191999.97,69662.14,366.00,-71.670747,0.922384
2017-09-14T07:01:00,83735.42,191999.97,69748.83,366.00,-71.686975,0.920613
2017-09-14T07:06:00,98069.19,191999.97,69729.96,366.00,-70.117508,0.925205
2017-09-14T07:11:00,86138.16,191999.97,69798.61,366.00,-69.882094,0.924423
2017-09-14T07:16:00,81503.20,191999.97,69872.15,366.00,-70.146518,0.921780
2017-09-14T07:21:00,83000.30,191999.97,69919.77,366.00,-70.236152,0.919759
2017-09-14T07:26:00,88209.36,191999.97,70000.78,366.00,-69.761968,0.919922
2017-09-14T07:31:00,86737.26,191999.97,70083.72,366.00,-69.447560,0.919465
2017-09-14T07:36:00,96903.70,191999.97,70092.83,366.00,-68.070279,0.923497
2017-09-14T07:41:00,82167.07,191999.97,70136.67,366.00,-68.248779,0.921180
2017-09-14T07:46:00,87488.60,191999.97,70210.19,366.00,-67.868387,0.921042
2017-09-14T07:51:00,81610.22,191999.97,70254.84,366.00,-68.090197,0.918540
2017-09-14T07:56:00,80912.91,191999.97,70361.66,366.00,-68.370250,0.915791
2017-09-14T08:01:00,89868.62,191999.97,70411.57,366.00,-67.737742,0.916737
2017-09-14T08:06:00,101242.70,191999.97,70349.47,366.00,-65.981543,0.922815
2017-09-14T08:11:00,82450.29,191999.97,70398.19,366.00,-66.116989,0.920686
2017-09-14T08:16:00,85068.04,191999.97,70456.09,366.00,-65.986288,0.919607
2017-09-14T08:21:00,80988.34,191999.97,70493.45,366.00,-66.248708,0.916953
2017-09-14T08:26:00,87082.91,191999.97,70580.53,366.00,-65.911042,0.916734
2017-09-14T08:31:00,87551.48,191999.97,70648.01,366.00,-65.530308,0.916714
2017-09-14T08:36:00,103350.65,191999.97,70551.61,366.00,-63.653700,0.923705
2017-09-14T08:41:00,89653.96,191999.97,70605.93,366.00,-63.104407,0.924476
2017-09-14T08:46:00,87064.81,191999.97,70671.50,366.00,-62.803890,0.924200
2017-09-14T08:51:00,87631.41,191999.97,70725.90,366.00,-62.452112,0.924156
2017-09-14T08:56:00,81764.51,191999.97,70816.29,366.00,-62.642043,0.921859
2017-09-14T09:01:00,87765.36,191999.97,70882.78,366.00,-62.274587,0.921899
2017-09-14T09:06:00,107512.56,191999.97,70723.51,366.00,-60.123094,0.930541
2017-09-14T09:11:00,82862.18,191999.97,70760.26,366.00,-60.229227,0.928668
2017-09-14T09:16:00,81294.95,191999.97,70803.21,366.00,-60.467194,0.926245
2017-09-14T09:21:00,87079.84,191999.97,70853.38,366.00,-60.182881,0.925998
2017-09-14T09:26:00,86973.77,191999.97,70946.51,366.00,-59.909080,0.925716
2017-09-14T09:31:00,81184.70,191999.97,71013.38,366.00,-60.140370,0.923292
2017-09-14T09:36:00,94482.51,191999.97,71031.78,366.00,-59.212090,0.926044
2017-09-14T09:41:00,89090.81,191999.97,71095.89,366.00,-58.762078,0.926590
2017-09-14T09:46:00,83973.69,191999.97,71169.25,366.00,-58.752739,0.925201
2017-09-14T09:51:00,83469.02,191999.97,71213.28,366.00,-58.781281,0.923642
2017-09-14T09:56:00,86483.12,191999.97,71285.25,366.00,-58.551524,0.923221
2017-09-14T10:01:00,82589.70,191999.97,71360.58,366.00,-58.646036,0.921366
2017-09-14T10:06:00,97631.79,191999.97,71340.16,366.00,-57.490977,0.925449
2017-09-14T10:11:00,85623.63,191999.97,71397.56,366.00,-57.341361,0.924708
2017-09-14T10:16:00,80587.18,191999.97,71459.06,366.00,-57.600322,0.922167
2017-09-14T10:21:00,83269.30,191999.97,71499.62,366.00,-57.632240,0.920599
2017-09-14T10:34:00,91488.50,191999.97,71683.62,366.00,-56.403516,0.922125
2017-09-14T10:39:00,84000.46,191999.97,71739.99,366.00,-56.376352,0.920847
2017-09-14T10:44:00,82121.93,191999.97,71794.39,366.00,-56.491748,0.918911
2017-09-14T10:49:00,79695.52,191999.97,71843.50,366.00,-56.788003,0.916145
2017-09-14T10:54:00,95663.19,191999.97,71828.27,366.00,-55.847175,0.919463
2017-09-14T10:59:00,91605.96,191999.97,71877.90,366.00,-55.231502,0.921088
2017-09-14T11:04:00,81789.69,191999.97,71933.80,366.00,-55.367963,0.919071
2017-09-14T11:09:00,87133.33,191999.97,71980.04,366.00,-55.095631,0.918997
2017-09-14T11:14:00,85786.23,191999.97,72047.53,366.00,-54.925483,0.918431
2017-09-14T11:19:00,82570.66,191999.97,72124.85,366.00,-54.993201,0.916720
2017-09-14T11:24:00,96040.70,191999.97,72127.64,366.00,-54.063917,0.920154
2017-09-14T11:29:00,88810.16,191999.97,72185.05,366.00,-53.678576,0.920705
2017-09-14T11:34:00,85677.93,191999.97,72247.62,366.00,-53.524707,0.920105
2017-09-14T11:39:00,86066.92,191999.97,72294.14,366.00,-53.342122,0.919654
2017-09-14T11:44:00,83522.10,191999.97,72364.43,366.00,-53.341667,0.918304
2017-09-14T11:49:00,76116.97,191999.97,72405.99,366.00,-53.863923,0.914494
2017-09-14T11:54:00,92796.98,191999.97,72413.36,366.00,-53.193881,0.916648
2017-09-14T11:59:00,95799.15,191999.97,72425.17,366.00,-52.323241,0.919950
2017-09-14T12:04:00,82825.68,191999.97,72486.77,366.00,-52.370298,0.918390
2017-09-14T12:09:00,79312.16,191999.97,72492.61,366.00,-52.655844,0.915665
2017-09-14T12:14:00,91794.59,191999.97,72526.54,366.00,-52.074301,0.917407
2017-09-14T12:19:00,80405.52,191999.97,72602.33,366.00,-52.278218,0.915065
2017-09-14T12:24:00,89893.45,191999.97,72640.12,366.00,-51.831294,0.916094
2017-09-14T12:29:00,93592.62,191999.97,72677.01,366.00,-51.140720,0.918516
2017-09-14T12:34:00,85584.51,191999.97,72743.84,366.00,-50.996150,0.917956
2017-09-14T12:39:00,83735.84,191999.97,72785.91,366.00,-50.973899,0.916764
2017-09-14T12:44:00,85430.26,191999.97,72839.76,366.00,-50.836884,0.916171
2017-09-14T12:49:00,84707.73,191999.97,72907.44,366.00,-50.746616,0.915333
2017-09-14T12:54:00,96145.22,191999.97,72903.40,366.00,-49.909801,0.918749
2017-09-14T12:59:00,91070.44,191999.97,72949.41,366.00,-49.414559,0.920171
2017-09-14T13:04:00,87631.11,191999.97,73002.68,366.00,-49.146926,0.920338
2017-09-14T13:09:00,81053.66,191999.97,73023.62,366.00,-49.301464,0.918278
2017-09-14T13:14:00,86040.93,191999.97,73083.21,366.00,-49.133409,0.917910
2017-09-14T13:19:00,87749.95,191999.97,73138.19,366.00,-48.857765,0.918146
2017-09-14T13:24:00,91617.48,191999.97,73174.14,366.00,-48.342128,0.919775
2017-09-14T13:29:00,86363.32,191999.97,73223.86,366.00,-48.160387,0.919516
2017-09-14T13:34:00,89990.38,191999.97,73269.43,366.00,-47.754872,0.920537
2017-09-14T13:39:00,81707.90,191999.97,73307.77,366.00,-47.863048,0.918727
2017-09-14T13:44:00,83210.48,191999.97,73368.58,366.00,-47.874511,0.917423
2017-09-14T13:49:00,85646.10,191999.97,73419.19,366.00,-47.735105,0.916948
2017-09-14T13:54:00,93392.70,191999.97,73435.63,366.00,-47.128516,0.919244
2017-09-14T13:59:00,90237.10,191999.97,73481.04,366.00,-46.719559,0.920358
2017-09-14T14:04:00,83341.35,191999.97,73525.60,366.00,-46.725951,0.919109
2017-09-14T14:09:00,86802.18,191999.97,73571.44,366.00,-46.524761,0.919029
2017-09-14T14:14:00,84503.58,191999.97,73628.45,366.00,-46.459703,0.918178
2017-09-14T14:19:00,81511.82,191999.97,73690.05,366.00,-46.567895,0.916363
2017-09-14T14:24:00,98009.19,191999.97,73662.72,366.00,-45.713729,0.920396
2017-09-14T14:29:00,88320.47,191999.97,73711.31,366.00,-45.431675,0.920833
2017-09-14T14:34:00,86074.41,191999.97,73764.01,366.00,-45.280997,0.920510
2017-09-14T14:39:00,87307.12,191999.97,73803.83,366.00,-45.060272,0.920605
2017-09-14T14:44:00,81707.81,191999.97,73865.03,366.00,-45.158136,0.918877
2017-09-14T14:49:00,78050.79,191999.97,73907.96,366.00,-45.457501,0.916037
2017-09-14T14:54:00,93389.63,191999.97,73911.63,366.00,-44.890795,0.918318
